date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:35	1445/1445	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20May%202023%2020:38:30%20GMT	https://www.stockwebull.com/robots.txt		(from )
21:40:36	1435/1435	---MCZ	200	added ('OK')	text/html	etag:W/%228497ddd852bbe55115a88ebc9bb98477%22	https://www.stockwebull.com/	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/index.html	(from )
21:40:38	113060/113060	---MCZ	200	added ('OK')	text/html	etag:W/%225d97d6566e6bb0c58388b3f1f39ee9a8%22	https://www.stockwebull.com/stockwebull.com/index.html	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/index.html	(from https://www.stockwebull.com/)
21:40:39	13179/13179	---M--	200	added ('OK')	image/png	etag:%22311e7856cb4b3b12797a06cabe263891%22	https://www.stockwebull.com/stockwebull.com/assets/images/logoIcon/logo.png	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/assets/images/logoIcon/logo.png	(from https://www.stockwebull.com/stockwebull.com/index.html)
21:40:40	243963/243963	---M--	200	added ('OK')	image/png	etag:%22746011da72bf599efb403ac1e04d25c0%22	https://www.stockwebull.com/stockwebull.com/assets/images/logoIcon/favicon.png	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/assets/images/logoIcon/favicon.png	(from https://www.stockwebull.com/stockwebull.com/index.html)
21:40:40	25529/25529	---M--	200	added ('OK')	image/jpeg	etag:%221e7b32c30cd707fb0ab46e84d2c0cd4a%22	https://www.stockwebull.com/stockwebull.com/assets/images/seo/62e1644a6eaf71658938442.jpg	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/assets/images/seo/62e1644a6eaf71658938442.jpg	(from https://www.stockwebull.com/stockwebull.com/index.html)
21:40:41	425298/425298	---MCZ	200	added ('OK')	text/css	etag:W/%22211398bab800867a0b2edda37a6fb21d%22	https://www.stockwebull.com/stockwebull.com/assets/templates/basic/newfront/css/main797c797c.css?v=1669374276	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/assets/templates/basic/newfront/css/main797c797c797c.css	(from https://www.stockwebull.com/stockwebull.com/index.html)
21:40:41	436441/436441	---MCZ	200	added ('OK')	text/css	etag:W/%22d2aa0d38bac50ca8d25cfcc04af392a5%22	https://www.stockwebull.com/stockwebull.com/assets/templates/basic/newfront/css/main797cc797c.css?v=1669374276	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/assets/templates/basic/newfront/css/main797cc797c797c.css	(from https://www.stockwebull.com/stockwebull.com/index.html)
21:40:41	27451/27451	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f294f698885e3f7fd539acb35a607e7%22	https://www.stockwebull.com/stockwebull.com/assets/templates/basic/newfront/js/scer.js	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/assets/templates/basic/newfront/js/scer.js	(from https://www.stockwebull.com/stockwebull.com/index.html)
21:40:42	45398/45398	---MCZ	200	added ('OK')	text/html	etag:W/%222088d03564848151645d911abd8125b4%22	https://www.stockwebull.com/stockwebull.com/copytrading.html	C:/My%20Web%20Sites/stockwebull/www.stockwebull.com/stockwebull.com/copytrading.html	(from https://www.stockwebull.com/stockwebull.com/index.html)
